"block" "pop" "rec" "env" "generation" "rel.fitness" "fitness.gain" "fitness.gain.rel"
"B" "SLR5" "mut" "salt" "G40" 3.17455938180825 -0.399935222797243 -0.111885809614023
"B" "SHR6" "wt" "salt" "G40" 4.58177027053066 1.32698108308687 0.40770108497535
"B" "SLR6" "mut" "salt" "G40" 4.16779522458979 0.593300619984294 0.165981680100976
"B" "SHR7" "wt" "salt" "G40" 2.71328276241798 -0.541506425025809 -0.16637219612097
"B" "SLR7" "mut" "salt" "G40" 4.65365193719508 1.07915733258958 0.301904871026847
"B" "SHR8" "wt" "salt" "G40" 4.04832557900036 0.793536391556573 0.243805772311722
"B" "SLR8" "mut" "salt" "G40" 3.51410260751357 -0.0603919970919309 -0.0168952547904591
"B" "HR0" "wt" "ngm" "G0" 2.58167003554113 -0.262697701567896 -0.0923571513417943
"B" "LR0" "mut" "ngm" "G0" 2.59427436306935 0.00296958217938581 0.0011459795085802
"B" "HR0" "wt" "ngm" "G0" 3.13987111572364 0.295503378614617 0.103890708208835
"B" "LR0" "mut" "ngm" "G0" 2.40592884171399 -0.185375939175972 -0.0715376826929275
"B" "SHR0" "wt" "salt" "G0" 3.68462287154424 0.429833684100453 0.132061912261062
"B" "SLR0" "mut" "salt" "G0" 3.76327262693185 0.188778022326352 0.0528125072795254
"B" "SHR0" "wt" "salt" "G0" 2.74407090543576 -0.510718282008021 -0.156912860586563
"B" "SLR0" "mut" "salt" "G0" 3.72832931215184 0.153834707546345 0.0430367715055826
"B" "HR1" "wt" "ngm" "G40" 3.19340343617743 0.3490356990684 0.122711172157773
"B" "LR1" "mut" "ngm" "G40" 3.07687766610185 0.485572885211883 0.187385478077618
"B" "HR2" "wt" "ngm" "G40" 2.458360069498 -0.386007667611029 -0.135709480379412
"B" "LR2" "mut" "ngm" "G40" 2.34555195989821 -0.245752820991759 -0.0948374821843061
"B" "HR3" "wt" "ngm" "G40" 3.573303870057 0.728936132947968 0.256273520275845
"B" "LR3" "mut" "ngm" "G40" 2.7682491397015 0.176944358811538 0.0682838854450643
"B" "HR4" "wt" "ngm" "G40" 3.1069047387233 0.262537001614271 0.0923006537407536
"B" "LR4" "mut" "ngm" "G40" 2.82645180163044 0.235147020740477 0.0907446404894594
"B" "SHR1" "wt" "salt" "G40" 4.00023264053011 0.745443453086325 0.229029719025143
"B" "SLR1" "mut" "salt" "G40" 3.85860566182173 0.284111057216229 0.0794828608358147
"B" "SHR2" "wt" "salt" "G40" 3.85334219434461 0.598553006900826 0.18389916287356
"B" "SLR2" "mut" "salt" "G40" 3.13091619354489 -0.443578411060604 -0.124095420507582
"B" "SHR3" "wt" "salt" "G40" 4.00206561594115 0.747276428497365 0.229592881585137
"B" "SLR4" "mut" "salt" "G40" 3.28611767948057 -0.288376925124926 -0.0806762793132688
"B" "SHR5" "wt" "salt" "G40" 3.35626465732284 0.101475469879051 0.0311772787836826
"B" "SLR5" "mut" "salt" "G40" 3.21412796335444 -0.360366641251053 -0.100816109999647
"B" "SHR6" "wt" "salt" "G40" 4.0506960179104 0.795906830466612 0.24453406492102
"B" "SLR6" "mut" "salt" "G40" 2.95984249147861 -0.614652113126887 -0.17195497017535
"B" "SHR7" "wt" "salt" "G40" 2.87636794981592 -0.378421237627864 -0.116265974794228
"B" "SLR7" "mut" "salt" "G40" 3.9044749175601 0.329980312954602 0.0923152359859334
"B" "SHR8" "wt" "salt" "G40" 3.98848480777389 0.733695620330104 0.225420320050383
"B" "SLR8" "mut" "salt" "G40" 3.77327877734393 0.198784172738436 0.0556118262095895
"B" "HR0" "wt" "ngm" "G0" 3.30613940236348 0.461771665254448 0.162345979118645
"B" "LR0" "mut" "ngm" "G0" 2.62460938894665 0.033304608056687 0.0128524472699227
"B" "HR0" "wt" "ngm" "G0" 3.07488095583958 0.230513218730551 0.0810419889535245
"B" "LR0" "mut" "ngm" "G0" 2.98301481603954 0.391710035149572 0.151163243335291
"B" "SHR0" "wt" "salt" "G0" 3.50509732881189 0.250308141368105 0.0769045633842387
"B" "SLR0" "mut" "salt" "G0" 3.3854809520009 -0.189013652604595 -0.052878427165917
"B" "SHR0" "wt" "salt" "G0" 3.30701675057272 0.052227563128934 0.0160463735502181
"B" "SLR0" "mut" "salt" "G0" 3.66957146280437 0.095076858198877 0.0265986856089744
"B" "HR1" "wt" "ngm" "G40" 2.73392198685801 -0.110445750251015 -0.0388296312076968
"B" "LR1" "mut" "ngm" "G40" 1.81004362053642 -0.781261160353548 -0.301493350421416
"B" "HR2" "wt" "ngm" "G40" 2.89658454701478 0.0522168099057549 0.0183579672995544
"B" "LR2" "mut" "ngm" "G40" 2.50328696105665 -0.0880178198333121 -0.0339666026483705
"B" "HR3" "wt" "ngm" "G40" 2.7984552931342 -0.045912443974832 -0.0161415288803327
"B" "LR3" "mut" "ngm" "G40" 2.71155622233364 0.120251441443675 0.0464057498486827
"B" "HR4" "wt" "ngm" "G40" 2.63081775405146 -0.21354998305757 -0.075078190583971
"B" "LR4" "mut" "ngm" "G40" 2.31720495442654 -0.274099826463424 -0.105776760991151
"B" "SHR1" "wt" "salt" "G40" 3.30575277931413 0.0509635918703419 0.015658031576038
"B" "SLR1" "mut" "salt" "G40" 3.58798959520793 0.0134949906024335 0.00377535626576297
"B" "SHR2" "wt" "salt" "G40" 3.73903230068761 0.484243113243826 0.148778641366981
"B" "SLR2" "mut" "salt" "G40" 2.93664650915152 -0.637848095453974 -0.178444274228908
"B" "SHR3" "wt" "salt" "G40" 3.612228018204 0.357438830760213 0.109819349326564
"B" "SLR4" "mut" "salt" "G40" 3.72798085960989 0.153486255004399 0.0429392884819695
"B" "SHR5" "wt" "salt" "G40" 3.95537101069108 0.700581823247293 0.215246451582786
"B" "SLR5" "mut" "salt" "G40" 3.08820057271163 -0.486294031893871 -0.136045535295343
"B" "SHR6" "wt" "salt" "G40" 3.87117965616748 0.616390468723695 0.189379536807356
"B" "SLR6" "mut" "salt" "G40" 3.33113408337624 -0.243360521229256 -0.0680824978489833
"B" "SHR7" "wt" "salt" "G40" 2.5819853412501 -0.672803846193685 -0.206711958116736
"B" "SLR7" "mut" "salt" "G40" 3.55118926957275 -0.0233053350327488 -0.00651989654781449
"B" "SHR8" "wt" "salt" "G40" 3.40967727634092 0.154888088897134 0.0475877483846436
"B" "SLR8" "mut" "salt" "G40" 3.83437515749796 0.259880552892463 0.0727041390851799
"B" "HR0" "wt" "ngm" "G0" 2.63304833481506 -0.211319402293966 -0.0742939808861522
"B" "LR0" "mut" "ngm" "G0" 2.80063475588186 0.209329974991896 0.0807816882582231
"B" "HR0" "wt" "ngm" "G0" 2.58342796369824 -0.260939773410787 -0.0917391130571611
"B" "LR0" "mut" "ngm" "G0" 2.3645687032377 -0.226736077652266 -0.0874988072898144
"B" "SHR0" "wt" "salt" "G0" 3.34351132304872 0.088722135604939 0.0272589499643197
"B" "SLR0" "mut" "salt" "G0" 3.31131820955637 -0.263176395049126 -0.0736261833239421
"B" "SHR0" "wt" "salt" "G0" 2.98716896564719 -0.267620221796594 -0.0822235193692453
"B" "SLR0" "mut" "salt" "G0" 3.29449497056808 -0.279999634037414 -0.0783326497896104
"B" "HR1" "wt" "ngm" "G40" 2.82732377979225 -0.0170439573167744 -0.00599217783777062
"B" "LR1" "mut" "ngm" "G40" 1.54105071258809 -1.05025406830188 -0.405299321039794
"B" "HR2" "wt" "ngm" "G40" 2.55040896409691 -0.293958773012121 -0.103347668157317
"B" "LR2" "mut" "ngm" "G40" 2.46280179433565 -0.128502986554317 -0.0495900704162573
"B" "HR3" "wt" "ngm" "G40" 3.1449420056026 0.300574268493574 0.105673491008963
"B" "LR3" "mut" "ngm" "G40" 2.62712822384329 0.0358234429533297 0.0138244807085279
"B" "HR4" "wt" "ngm" "G40" 2.6523823581736 -0.191985378935432 -0.0674966799934819
"B" "LR4" "mut" "ngm" "G40" 2.26578586528719 -0.325518915602778 -0.12561969475894
"B" "SHR1" "wt" "salt" "G40" 4.14578571100837 0.890996523564583 0.273749380451993
"B" "SLR1" "mut" "salt" "G40" 3.53623560750464 -0.0382589971008542 -0.010703330493648
"B" "SHR2" "wt" "salt" "G40" 3.22918584751456 -0.0256033399292219 -0.00786635891135246
"B" "SLR2" "mut" "salt" "G40" 2.92924537768694 -0.645249226918554 -0.1805148135032
"B" "SHR3" "wt" "salt" "G40" 3.25852657087785 0.00373738343406593 0.00114827204431056
"B" "SLR4" "mut" "salt" "G40" 2.86840142925721 -0.706093175348286 -0.197536506122721
"B" "SHR5" "wt" "salt" "G40" 3.60437191837348 0.34958273092969 0.107405644666112
"B" "SLR5" "mut" "salt" "G40" 3.04361296860615 -0.53088163599935 -0.148519355803571
"B" "SHR6" "wt" "salt" "G40" 3.60730847545758 0.352519288013792 0.108307871174492
"B" "SLR6" "mut" "salt" "G40" 2.60935444385792 -0.965140160747573 -0.270007446508397
"B" "SHR7" "wt" "salt" "G40" 2.8031583931221 -0.451630794321681 -0.138758846829149
"B" "SLR7" "mut" "salt" "G40" 3.37554218632177 -0.198952418283726 -0.0556588945546005
"B" "SHR8" "wt" "salt" "G40" 4.27292568297402 1.01813649553023 0.312811809581389
"B" "SLR8" "mut" "salt" "G40" 3.01534781954703 -0.559146785058462 -0.156426809076181
"B" "HR0" "wt" "ngm" "G0" 2.95614351709871 0.111775779989681 0.0392972323976957
"B" "LR0" "mut" "ngm" "G0" 2.74647076383817 0.155165982948205 0.0598794800567282
"B" "HR0" "wt" "ngm" "G0" 2.73510713875115 -0.109260598357876 -0.0384129650088516
"B" "LR0" "mut" "ngm" "G0" 1.92086144392856 -0.670443336961401 -0.258728090151997
"B" "SHR0" "wt" "salt" "G0" 3.26165887712762 0.00686968968383272 0.00211064044034992
"B" "SLR0" "mut" "salt" "G0" 4.06458794777495 0.490093343169457 0.137108429968814
"B" "SHR0" "wt" "salt" "G0" 3.318111354094 0.0633221666502108 0.0194550746618223
"B" "SLR0" "mut" "salt" "G0" 3.34771301293632 -0.22678159166918 -0.0634443793472195
"C" "LR4" "mut" "ngm" "G40" 1.75985215037092 0.119752724573236 0.0730155274062079
"C" "LR0" "mut" "ngm" "G0" 1.45545255333342 -0.184646872464259 -0.11258273099782
"C" "HR1" "wt" "ngm" "G40" 1.73751332129895 -0.491308181422829 -0.220434063841746
"C" "HR0" "wt" "ngm" "G0" 2.14351059377443 -0.0853109089473483 -0.0382762409834834
"C" "HR4" "wt" "ngm" "G40" 2.40256353764211 0.173742034920336 0.0779524222591028
"C" "HR3" "wt" "ngm" "G40" 2.52500846822393 0.296186965502157 0.132889495700064
"C" "LR3" "mut" "ngm" "G40" 2.09559887103069 0.455499445233003 0.277726726848566
"C" "HR2" "wt" "ngm" "G40" 2.33395946115711 0.105137958435336 0.0471719957416705
"C" "LR2" "mut" "ngm" "G40" 1.43384675092354 -0.206252674874145 -0.125756202111852
"C" "LR1" "mut" "ngm" "G40" 2.61971042852092 0.979611002723235 0.597287571298788
"C" "SHR5" "wt" "salt" "G40" 3.26082461725106 0.838479388124655 0.346143637183806
"C" "SHR6" "wt" "salt" "G40" 2.82690482345925 0.404559594332845 0.167011534717842
"C" "SHR3" "wt" "salt" "G40" 2.99748440774199 0.575139178615587 0.237430722797099
"C" "SLR7" "mut" "salt" "G40" 2.599310402817 0.317840788991596 0.139314057511668
"C" "SHR1" "wt" "salt" "G40" 2.66385669260971 0.241511463483309 0.0997015043848262
"C" "SLR4" "mut" "salt" "G40" 2.67610656478638 0.394636950960982 0.17297488801496
"C" "SLR8" "mut" "salt" "G40" 2.44664068803744 0.165171074212043 0.0723967889868566
